ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
ES0002,SNLN,Municipal de Linhares,Espírito Santo,LINHARES,42.0,-19.355278,-40.071389,"19°21'19""S","040°04'17""W"
MG0034,SNJR,Prefeito Octávio de Almeida Neves,Minas Gerais,SÃO JOÃO DEL REI,945.0,-21.085556,-44.225278,"21°05'08""S","044°13'31""W"
SP0049,SDRK,Rio Claro,São Paulo,RIO CLARO,600.0,-22.431667,-47.5625,"22°25'54""S","047°33'45""W"
PI0001,SBTE,SENADOR PETRÔNIO PORTELLA,Piauí,TERESINA,67.0,-5.0605556,-42.824444,"05°03'38""S","042°49'28""W"
MG0015,SNDV,Brigadeiro Antônio Cabral,Minas Gerais,DIVINÓPOLIS,795.0,-20.181944,-44.87,"20°10'55""S","044°52'12""W"
ES0006,SNKI,AERÓDROMO DE CACHOEIRO DE ITAPEMIRIM,Espírito Santo,CACHOEIRO DE ITAPEMIRIM,78.0,-20.835278,-41.186389,"20°50'07""S","041°11'11""W"
MS0004,SBDB,Aeródromo Público de Bonito,Mato Grosso do Sul,BONITO,334.0,-21.247222,-56.4525,"21°14'50""S","056°27'09""W"
PE0005,SNHS,Santa Magalhães,Pernambuco,SERRA TALHADA,470.0,-8.0613889,-38.328611,"08°03'41""S","038°19'43""W"
PI0003,SNQG,Cangapara,Piauí,FLORIANO,210.0,-6.8461111,-43.078056,"06°50'46""S","043°04'41""W"
MS0003,SSKG,Estância Santa Maria,Mato Grosso do Sul,CAMPO GRANDE,618.0,-20.505556,-54.524722,"20°30'20""S","054°31'29""W"
MG0035,SNVI,Mello Viana,Minas Gerais,TRÊS CORAÇÕES,976.0,-21.789167,-45.268056,"21°47'21""S","045°16'05""W"
SC0018,SSLN,Helmuth Baungartem,Santa Catarina,LONTRAS,334.0,-27.159722,-49.542778,"27°09'35""S","049°32'34""W"
BA0013,SDIY,João Durval Carneiro,Bahia,FEIRA DE SANTANA,238.0,-12.200556,-38.906389,"12°12'02""S","038°54'23""W"
ES0003,SNMX,São Mateus,Espírito Santo,SÃO MATEUS,30.0,-18.721389,-39.833611,"18°43'17""S","039°50'01""W"
RS0018,SSER,Erechim,Rio Grande do Sul,ERECHIM,761.0,-27.663333,-52.271944,"27°39'48""S","052°16'19""W"
RJ0321,SBPW,Porto do Açu,Rio de Janeiro,SÃO JOÃO DA BARRA,5.0,-21.801389,-41.1025,"21°48'05""S","041°06'09""W"
PI0006,SSFL,João Pereira dos Santos Filho,Piauí,FRONTEIRAS,448.0,-7.1,-40.628333,"07°06'00""S","040°37'42""W"
PR0005,SBCA,Aeroporto Regional do Oeste — Cel. Adalberto Mendes da Silva — Cascavel — Paraná,Paraná,CASCAVEL,759.0,-25.002222,-53.501944,"25°00'08""S","053°30'07""W"
PR0006,SBBI,Bacacheri,Paraná,CURITIBA,931.0,-25.403333,-49.233611,"25°24'12""S","049°14'01""W"
GO0018,SNMH,Pirenópolis,Goiás,PIRENÓPOLIS,784.0,-15.848611,-48.982778,"15°50'55""S","048°58'58""W"
PE0003,SBFN,Fernando de Noronha,Pernambuco,FERNANDO DE NORONHA,58.0,-3.8547222,-32.428333,"03°51'17""S","032°25'42""W"
SP0026,SDVG,Domingos Pignatari,São Paulo,VOTUPORANGA,511.0,-20.457222,-50.0025,"20°27'26""S","050°00'09""W"
MG0033,SNAR,Cirilo Queiróz,Minas Gerais,ALMENARA,195.0,-16.165833,-40.684167,"16°09'57""S","040°41'03""W"
MG0010,SNPD,Patos de Minas,Minas Gerais,PATOS DE MINAS,851.0,-18.672222,-46.491389,"18°40'20""S","046°29'29""W"
BA0007,SBUF,Paulo Afonso,Bahia,PAULO AFONSO,269.0,-9.4011111,-38.251111,"09°24'04""S","038°15'04""W"
PA0007,SBTU,Tucuruí,Pará,TUCURUÍ,253.0,-3.7769444,-49.719722,"03°46'37""S","049°43'11""W"
CE0164,SN6L,Dr. Luciano de Arruda Coelho,Ceará,SOBRAL,91.0,-3.6147222,-40.232222,"03°36'53""S","040°13'56""W"
RS0001,SBPA,Salgado Filho,Rio Grande do Sul,PORTO ALEGRE,9.0,-29.994722,-51.171111,"29°59'41""S","051°10'16""W"
RR0001,SBBV,Atlas Brasil Cantanhede,Roraima,BOA VISTA,84.0,2.84138889,-60.692222,"02°50'29""N","060°41'32""W"
SP0009,SBAU,Araçatuba,São Paulo,ARAÇATUBA,415.0,-21.144167,-50.426389,"21°08'39""S","050°25'35""W"
GO0006,SJQN,Quirinópolis,Goiás,QUIRINÓPOLIS,586.0,-18.446111,-50.409167,"18°26'46""S","050°24'33""W"
AM0005,SBTT,Tabatinga,Amazonas,TABATINGA,80.0,-4.2505556,-69.937778,"04°15'02""S","069°56'16""W"
SP0012,SBAQ,Bartolomeu de Gusmão,São Paulo,ARARAQUARA,711.0,-21.811944,-48.133056,"21°48'43""S","048°07'59""W"
